"","species","genus","family","species.relative","genus.relative","family.in.genus.list","output.note"
"4696","Connarus fasciculatus","Connarus","Connaraceae",NA,NA,NA,"insertion based on genus"
"4697","Connarus grandifolius","Connarus","Connaraceae",NA,NA,NA,"insertion based on genus"
"4698","Connarus megacarpus","Connarus","Connaraceae",NA,NA,NA,"insertion based on genus"
"4699","Connarus panamensis","Connarus","Connaraceae",NA,NA,NA,"present in megatree"
"4700","Connarus perrottetii","Connarus","Connaraceae",NA,NA,NA,"insertion based on genus"
"4701","Connarus punctatus","Connarus","Connaraceae",NA,NA,NA,"insertion based on genus"
"4702","Connarus ruber","Connarus","Connaraceae",NA,NA,NA,"insertion based on genus"
"4703","Connarus schultesii","Connarus","Connaraceae",NA,NA,NA,"insertion based on genus"
"4704","Connarus suberosus","Connarus","Connaraceae",NA,NA,NA,"insertion based on genus"
"4705","Connarus turczaninowii","Connarus","Connaraceae",NA,NA,NA,"present in megatree"
"4706","Conoclinium coelestinum","Conoclinium","Asteraceae",NA,NA,NA,"insertion based on family"
"4707","Conopodium majus","Conopodium","Apiaceae",NA,NA,NA,"present in megatree"
"4708","Conostegia bracteata","Conostegia","Melastomataceae",NA,NA,NA,"insertion based on family"
"4709","Conostegia cinnamomea","Conostegia","Melastomataceae",NA,NA,NA,"insertion based on family"
"4710","Conostegia icosandra","Conostegia","Melastomataceae",NA,NA,NA,"insertion based on family"
"4711","Conostegia micrantha","Conostegia","Melastomataceae",NA,NA,NA,"insertion based on family"
"4712","Conostegia rufescens","Conostegia","Melastomataceae",NA,NA,NA,"insertion based on family"
"4713","Conostegia speciosa","Conostegia","Melastomataceae",NA,NA,NA,"insertion based on family"
"4714","Conostegia subcrustulata","Conostegia","Melastomataceae",NA,NA,NA,"insertion based on family"
"4715","Conostegia superba","Conostegia","Melastomataceae",NA,NA,NA,"insertion based on family"
"4716","Conostegia xalapensis","Conostegia","Melastomataceae",NA,NA,NA,"insertion based on family"
"4717","Convallaria keiskei","Convallaria","Asparagaceae",NA,NA,NA,"insertion based on genus"
"4718","Convallaria majalis","Convallaria","Asparagaceae",NA,NA,NA,"present in megatree"
"4719","Convallaria pseudomajalis","Convallaria","Asparagaceae",NA,NA,NA,"insertion based on genus"
"4720","Convolvulus arvensis","Convolvulus","Convolvulaceae",NA,NA,NA,"present in megatree"
"4721","Convolvulus cantabrica","Convolvulus","Convolvulaceae",NA,NA,NA,"present in megatree"
"4722","Convolvulus fractosaxosus","Convolvulus","Convolvulaceae",NA,NA,NA,"insertion based on genus"
"4723","Convolvulus lineatus","Convolvulus","Convolvulaceae",NA,NA,NA,"present in megatree"
"4724","Convolvulus microphyllus","Convolvulus","Convolvulaceae",NA,NA,NA,"insertion based on genus"
"4725","Convolvulus verecundus","Convolvulus","Convolvulaceae",NA,NA,NA,"insertion based on genus"
"4726","Convolvulus waitaha","Convolvulus","Convolvulaceae",NA,NA,NA,"insertion based on genus"
"4727","Conyza canadensis","Conyza","Asteraceae",NA,NA,NA,"insertion based on genus"
"4728","Conyza sumatrensis","Conyza","Asteraceae",NA,NA,NA,"insertion based on genus"
"4729","Conzattia multiflora","Conzattia","Fabaceae",NA,NA,NA,"present in megatree"
"4730","Copaiba mopane","Copaiba","Fabaceae",NA,NA,NA,"insertion based on family"
"4731","Copaifera duckei","Copaifera","Fabaceae",NA,NA,NA,"insertion based on genus"
"4732","Copaifera epunctata","Copaifera","Fabaceae",NA,NA,NA,"insertion based on genus"
"4733","Copaifera glycycarpa","Copaifera","Fabaceae",NA,NA,NA,"insertion based on genus"
"4734","Copaifera guianensis","Copaifera","Fabaceae",NA,NA,NA,"insertion based on genus"
"4735","Copaifera guyanensis","Copaifera","Fabaceae",NA,NA,NA,"insertion based on genus"
"4736","Copaifera langsdorffii","Copaifera","Fabaceae",NA,NA,NA,"insertion based on genus"
"4737","Copaifera martii","Copaifera","Fabaceae",NA,NA,NA,"insertion based on genus"
"4738","Copaifera multijuga","Copaifera","Fabaceae",NA,NA,NA,"insertion based on genus"
"4739","Copaifera oblongifolia","Copaifera","Fabaceae",NA,NA,NA,"insertion based on genus"
"4740","Copaifera officinalis","Copaifera","Fabaceae",NA,NA,NA,"present in megatree"
"4741","Copaifera paupera","Copaifera","Fabaceae",NA,NA,NA,"insertion based on genus"
"4742","Copaifera pubiflora","Copaifera","Fabaceae",NA,NA,NA,"insertion based on genus"
"4743","Copaifera reticulata","Copaifera","Fabaceae",NA,NA,NA,"insertion based on genus"
"4744","Copaifera trapezifolia","Copaifera","Fabaceae",NA,NA,NA,"insertion based on genus"
"4745","Copernicia alba","Copernicia","Arecaceae",NA,NA,NA,"present in megatree"
"4746","Copernicia tectorum","Copernicia","Arecaceae",NA,NA,NA,"present in megatree"
"4747","Coprosma acerosa","Coprosma","Rubiaceae",NA,NA,NA,"present in megatree"
"4748","Coprosma acutifolia","Coprosma","Rubiaceae",NA,NA,NA,"present in megatree"
"4749","Coprosma arborea","Coprosma","Rubiaceae",NA,NA,NA,"insertion based on genus"
"4750","Coprosma areolata","Coprosma","Rubiaceae",NA,NA,NA,"present in megatree"
"4751","Coprosma atropurpurea","Coprosma","Rubiaceae",NA,NA,NA,"present in megatree"
"4752","Coprosma chathamica","Coprosma","Rubiaceae",NA,NA,NA,"present in megatree"
"4753","Coprosma cheesemanii","Coprosma","Rubiaceae",NA,NA,NA,"present in megatree"
"4754","Coprosma ciliata","Coprosma","Rubiaceae",NA,NA,NA,"present in megatree"
"4755","Coprosma colensoi","Coprosma","Rubiaceae",NA,NA,NA,"insertion based on genus"
"4756","Coprosma crassifolia","Coprosma","Rubiaceae",NA,NA,NA,"present in megatree"
"4757","Coprosma crenulata","Coprosma","Rubiaceae",NA,NA,NA,"present in megatree"
"4758","Coprosma cuneata","Coprosma","Rubiaceae",NA,NA,NA,"present in megatree"
"4759","Coprosma decurva","Coprosma","Rubiaceae",NA,NA,NA,"present in megatree"
"4760","Coprosma depressa","Coprosma","Rubiaceae",NA,NA,NA,"insertion based on genus"
"4761","Coprosma distantia","Coprosma","Rubiaceae",NA,NA,NA,"insertion based on genus"
"4762","Coprosma dodonaeifolia","Coprosma","Rubiaceae",NA,NA,NA,"present in megatree"
"4763","Coprosma dumosa","Coprosma","Rubiaceae",NA,NA,NA,"present in megatree"
"4764","Coprosma elatirioides","Coprosma","Rubiaceae",NA,NA,NA,"present in megatree"
"4765","Coprosma foetidissima","Coprosma","Rubiaceae",NA,NA,NA,"present in megatree"
"4766","Coprosma fowerakeri","Coprosma","Rubiaceae",NA,NA,NA,"present in megatree"
"4767","Coprosma hirtella","Coprosma","Rubiaceae",NA,NA,NA,"present in megatree"
"4768","Coprosma intertexta","Coprosma","Rubiaceae",NA,NA,NA,"present in megatree"
"4769","Coprosma linariifolia","Coprosma","Rubiaceae",NA,NA,NA,"present in megatree"
"4770","Coprosma lucida","Coprosma","Rubiaceae",NA,NA,NA,"present in megatree"
"4771","Coprosma macrocarpa","Coprosma","Rubiaceae",NA,NA,NA,"present in megatree"
"4772","Coprosma microcarpa","Coprosma","Rubiaceae",NA,NA,NA,"present in megatree"
"4773","Coprosma neglecta","Coprosma","Rubiaceae",NA,NA,NA,"insertion based on genus"
"4774","Coprosma niphophila","Coprosma","Rubiaceae",NA,NA,NA,"present in megatree"
"4775","Coprosma obconica","Coprosma","Rubiaceae",NA,NA,NA,"present in megatree"
"4776","Coprosma parviflora","Coprosma","Rubiaceae",NA,NA,NA,"present in megatree"
"4777","Coprosma pedicellata","Coprosma","Rubiaceae",NA,NA,NA,"present in megatree"
"4778","Coprosma perpusilla","Coprosma","Rubiaceae",NA,NA,NA,"present in megatree"
"4779","Coprosma petiolata","Coprosma","Rubiaceae",NA,NA,NA,"present in megatree"
"4780","Coprosma petriei","Coprosma","Rubiaceae",NA,NA,NA,"present in megatree"
"4781","Coprosma propinqua","Coprosma","Rubiaceae",NA,NA,NA,"insertion based on genus"
"4782","Coprosma pseudociliata","Coprosma","Rubiaceae",NA,NA,NA,"present in megatree"
"4783","Coprosma pseudocuneata","Coprosma","Rubiaceae",NA,NA,NA,"present in megatree"
"4784","Coprosma quadrifida","Coprosma","Rubiaceae",NA,NA,NA,"present in megatree"
"4785","Coprosma repens","Coprosma","Rubiaceae",NA,NA,NA,"insertion based on genus"
"4786","Coprosma rhamnoides","Coprosma","Rubiaceae",NA,NA,NA,"present in megatree"
"4787","Coprosma rhynchocarpa","Coprosma","Rubiaceae",NA,NA,NA,"present in megatree"
"4788","Coprosma rigida","Coprosma","Rubiaceae",NA,NA,NA,"present in megatree"
"4789","Coprosma robusta","Coprosma","Rubiaceae",NA,NA,NA,"present in megatree"
"4790","Coprosma rotundifolia","Coprosma","Rubiaceae",NA,NA,NA,"present in megatree"
"4791","Coprosma rubra","Coprosma","Rubiaceae",NA,NA,NA,"present in megatree"
"4792","Coprosma rugosa","Coprosma","Rubiaceae",NA,NA,NA,"present in megatree"
"4793","Coprosma serrulata","Coprosma","Rubiaceae",NA,NA,NA,"present in megatree"
"4794","Coprosma spathulata","Coprosma","Rubiaceae",NA,NA,NA,"present in megatree"
"4795","Coprosma tahitensis","Coprosma","Rubiaceae",NA,NA,NA,"present in megatree"
"4796","Coprosma talbrockiei","Coprosma","Rubiaceae",NA,NA,NA,"insertion based on genus"
"4797","Coprosma tenuicaulis","Coprosma","Rubiaceae",NA,NA,NA,"present in megatree"
"4798","Coprosma tenuifolia","Coprosma","Rubiaceae",NA,NA,NA,"present in megatree"
"4799","Coprosma virescens","Coprosma","Rubiaceae",NA,NA,NA,"present in megatree"
"4800","Coprosma waima","Coprosma","Rubiaceae",NA,NA,NA,"present in megatree"
"4801","Coprosma wallii","Coprosma","Rubiaceae",NA,NA,NA,"present in megatree"
"4802","Coptosperma littorale","Coptosperma","Rubiaceae",NA,NA,NA,"present in megatree"
"4803","Coptosperma neurophyllum","Coptosperma","Rubiaceae",NA,NA,NA,"present in megatree"
"4804","Coptosperma nigrescens","Coptosperma","Rubiaceae",NA,NA,NA,"present in megatree"
"4805","Coptosperma rhodesiacum","Coptosperma","Rubiaceae",NA,NA,NA,"insertion based on genus"
"4806","Coptosperma supra-axillare","Coptosperma","Rubiaceae",NA,NA,NA,"present in megatree"
"4807","Coptosperma zygoon","Coptosperma","Rubiaceae",NA,NA,NA,"insertion based on genus"
"4808","Corallocarpus bainesii","Corallocarpus","Cucurbitaceae",NA,NA,NA,"present in megatree"
"4809","Corallocarpus boehmii","Corallocarpus","Cucurbitaceae",NA,NA,NA,"present in megatree"
"4810","Corallocarpus poissonii","Corallocarpus","Cucurbitaceae",NA,NA,NA,"insertion based on genus"
"4811","Corallocarpus triangularis","Corallocarpus","Cucurbitaceae",NA,NA,NA,"present in megatree"
"4812","Corallocarpus wildii","Corallocarpus","Cucurbitaceae",NA,NA,NA,"insertion based on genus"
"4813","Corallorhiza maculata","Corallorhiza","Orchidaceae",NA,NA,NA,"insertion based on genus"
"4814","Corallorhiza trifida","Corallorhiza","Orchidaceae",NA,NA,NA,"present in megatree"
"4815","Cordia acutifolia","Cordia","Boraginaceae",NA,NA,NA,"present in megatree"
"4816","Cordia africana","Cordia","Boraginaceae",NA,NA,NA,"present in megatree"
"4817","Cordia alliodora","Cordia","Boraginaceae",NA,NA,NA,"present in megatree"
"4818","Cordia anderssonii","Cordia","Boraginaceae",NA,NA,NA,"insertion based on genus"
"4819","Cordia aspera","Cordia","Boraginaceae",NA,NA,NA,"insertion based on genus"
"4820","Cordia bicolor","Cordia","Boraginaceae",NA,NA,NA,"present in megatree"
"4821","Cordia caffra","Cordia","Boraginaceae",NA,NA,NA,"insertion based on genus"
"4822","Cordia chamissoniana","Cordia","Boraginaceae",NA,NA,NA,"insertion based on genus"
"4823","Cordia collococca","Cordia","Boraginaceae",NA,NA,NA,"present in megatree"
"4824","Cordia curassavica","Cordia","Boraginaceae",NA,NA,NA,"insertion based on genus"
"4825","Cordia cymosa","Cordia","Boraginaceae",NA,NA,NA,"present in megatree"
"4826","Cordia dentata","Cordia","Boraginaceae",NA,NA,NA,"present in megatree"
"4827","Cordia dichotoma","Cordia","Boraginaceae",NA,NA,NA,"present in megatree"
"4828","Cordia diversifolia","Cordia","Boraginaceae",NA,NA,NA,"present in megatree"
"4829","Cordia dodecandra","Cordia","Boraginaceae",NA,NA,NA,"insertion based on genus"
"4830","Cordia dwyeri","Cordia","Boraginaceae",NA,NA,NA,"present in megatree"
"4831","Cordia ecalyculata","Cordia","Boraginaceae",NA,NA,NA,"present in megatree"
"4832","Cordia eriostigma","Cordia","Boraginaceae",NA,NA,NA,"insertion based on genus"
"4833","Cordia exaltata","Cordia","Boraginaceae",NA,NA,NA,"present in megatree"
"4834","Cordia fallax","Cordia","Boraginaceae",NA,NA,NA,"insertion based on genus"
"4835","Cordia fulva","Cordia","Boraginaceae",NA,NA,NA,"insertion based on genus"
"4836","Cordia gerascanthus","Cordia","Boraginaceae",NA,NA,NA,"present in megatree"
"4837","Cordia gharaf","Cordia","Boraginaceae",NA,NA,NA,"insertion based on genus"
"4838","Cordia glabrata","Cordia","Boraginaceae",NA,NA,NA,"present in megatree"
"4839","Cordia goeldiana","Cordia","Boraginaceae",NA,NA,NA,"present in megatree"
"4840","Cordia goetzei","Cordia","Boraginaceae",NA,NA,NA,"insertion based on genus"
"4841","Cordia gracilipes","Cordia","Boraginaceae",NA,NA,NA,"insertion based on genus"
"4842","Cordia guineensis","Cordia","Boraginaceae",NA,NA,NA,"present in megatree"
"4843","Cordia hebeclada","Cordia","Boraginaceae",NA,NA,NA,"insertion based on genus"
"4844","Cordia iguaguana","Cordia","Boraginaceae",NA,NA,NA,"insertion based on genus"
"4845","Cordia kingstoniana","Cordia","Boraginaceae",NA,NA,NA,"insertion based on genus"
"4846","Cordia laevifrons","Cordia","Boraginaceae",NA,NA,NA,"insertion based on genus"
"4847","Cordia laevigata","Cordia","Boraginaceae",NA,NA,NA,"insertion based on genus"
"4848","Cordia lantanoides","Cordia","Boraginaceae",NA,NA,NA,"insertion based on genus"
"4849","Cordia lasseri","Cordia","Boraginaceae",NA,NA,NA,"insertion based on genus"
"4850","Cordia latiloba","Cordia","Boraginaceae",NA,NA,NA,"insertion based on genus"
"4851","Cordia leucophlyctis","Cordia","Boraginaceae",NA,NA,NA,"insertion based on genus"
"4852","Cordia lomatoloba","Cordia","Boraginaceae",NA,NA,NA,"insertion based on genus"
"4853","Cordia lucidula","Cordia","Boraginaceae",NA,NA,NA,"present in megatree"
"4854","Cordia lutea","Cordia","Boraginaceae",NA,NA,NA,"present in megatree"
"4855","Cordia megalantha","Cordia","Boraginaceae",NA,NA,NA,"present in megatree"
"4856","Cordia mexiana","Cordia","Boraginaceae",NA,NA,NA,"insertion based on genus"
"4857","Cordia millenii","Cordia","Boraginaceae",NA,NA,NA,"insertion based on genus"
"4858","Cordia monoica","Cordia","Boraginaceae",NA,NA,NA,"present in megatree"
"4859","Cordia myxa","Cordia","Boraginaceae",NA,NA,NA,"present in megatree"
"4860","Cordia naidophila","Cordia","Boraginaceae",NA,NA,NA,"present in megatree"
"4861","Cordia nervosa","Cordia","Boraginaceae",NA,NA,NA,"insertion based on genus"
"4862","Cordia nitida","Cordia","Boraginaceae",NA,NA,NA,"insertion based on genus"
"4863","Cordia nodosa","Cordia","Boraginaceae",NA,NA,NA,"present in megatree"
"4864","Cordia obliqua","Cordia","Boraginaceae",NA,NA,NA,"insertion based on genus"
"4865","Cordia panamensis","Cordia","Boraginaceae",NA,NA,NA,"present in megatree"
"4866","Cordia panicularis","Cordia","Boraginaceae",NA,NA,NA,"present in megatree"
"4867","Cordia platythyrsa","Cordia","Boraginaceae",NA,NA,NA,"insertion based on genus"
"4868","Cordia polycephala","Cordia","Boraginaceae",NA,NA,NA,"insertion based on genus"
"4869","Cordia porcata","Cordia","Boraginaceae",NA,NA,NA,"present in megatree"
"4870","Cordia revoluta","Cordia","Boraginaceae",NA,NA,NA,"insertion based on genus"
"4871","Cordia ripicola","Cordia","Boraginaceae",NA,NA,NA,"insertion based on genus"
"4872","Cordia saccellia","Cordia","Boraginaceae",NA,NA,NA,"present in megatree"
"4873","Cordia sagotii","Cordia","Boraginaceae",NA,NA,NA,"present in megatree"
"4874","Cordia salvadorensis","Cordia","Boraginaceae",NA,NA,NA,"insertion based on genus"
"4875","Cordia scabrifolia","Cordia","Boraginaceae",NA,NA,NA,"present in megatree"
"4876","Cordia schomburgkii","Cordia","Boraginaceae",NA,NA,NA,"insertion based on genus"
"4877","Cordia sebestena","Cordia","Boraginaceae",NA,NA,NA,"present in megatree"
"4878","Cordia sellowiana","Cordia","Boraginaceae",NA,NA,NA,"present in megatree"
"4879","Cordia sericicalyx","Cordia","Boraginaceae",NA,NA,NA,"insertion based on genus"
"4880","Cordia silvestris","Cordia","Boraginaceae",NA,NA,NA,"insertion based on genus"
"4881","Cordia sinensis","Cordia","Boraginaceae",NA,NA,NA,"present in megatree"
"4882","Cordia sprucei","Cordia","Boraginaceae",NA,NA,NA,"present in megatree"
"4883","Cordia stellifera","Cordia","Boraginaceae",NA,NA,NA,"insertion based on genus"
"4884","Cordia stenoclada","Cordia","Boraginaceae",NA,NA,NA,"insertion based on genus"
"4885","Cordia subcordata","Cordia","Boraginaceae",NA,NA,NA,"insertion based on genus"
"4886","Cordia sulcata","Cordia","Boraginaceae",NA,NA,NA,"insertion based on genus"
"4887","Cordia tetrandra","Cordia","Boraginaceae",NA,NA,NA,"present in megatree"
"4888","Cordia toqueve","Cordia","Boraginaceae",NA,NA,NA,"present in megatree"
"4889","Cordia trachyphylla","Cordia","Boraginaceae",NA,NA,NA,"present in megatree"
"4890","Cordia trichotoma","Cordia","Boraginaceae",NA,NA,NA,"present in megatree"
"4891","Cordia truncatifolia","Cordia","Boraginaceae",NA,NA,NA,"insertion based on genus"
"4892","Cordia ucayaliensis","Cordia","Boraginaceae",NA,NA,NA,"present in megatree"
"4893","Cordia ulei","Cordia","Boraginaceae",NA,NA,NA,"insertion based on genus"
"4894","Cordiera concolor","Cordiera","Rubiaceae",NA,NA,NA,"insertion based on genus"
"4895","Cordiera garapatica","Cordiera","Rubiaceae",NA,NA,NA,"insertion based on genus"
"4896","Cordiera hadrantha","Cordiera","Rubiaceae",NA,NA,NA,"insertion based on genus"
"4897","Cordiera killipii","Cordiera","Rubiaceae",NA,NA,NA,"insertion based on genus"
"4898","Cordiera macrophylla","Cordiera","Rubiaceae",NA,NA,NA,"insertion based on genus"
"4899","Cordiera myrciifolia","Cordiera","Rubiaceae",NA,NA,NA,"insertion based on genus"
"4900","Cordiera pilosa","Cordiera","Rubiaceae",NA,NA,NA,"insertion based on genus"
"4901","Cordiera sessilis","Cordiera","Rubiaceae",NA,NA,NA,"insertion based on genus"
"4902","Cordiera triflora","Cordiera","Rubiaceae",NA,NA,NA,"present in megatree"
"4903","Cordyla africana","Cordyla","Fabaceae",NA,NA,NA,"present in megatree"
"4904","Cordyline australis","Cordyline","Asparagaceae",NA,NA,NA,"present in megatree"
"4905","Cordyline banksii","Cordyline","Asparagaceae",NA,NA,NA,"insertion based on genus"
"4906","Cordyline cannifolia","Cordyline","Asparagaceae",NA,NA,NA,"present in megatree"
"4907","Cordyline fruticosa","Cordyline","Asparagaceae",NA,NA,NA,"present in megatree"
"4908","Cordyline indivisa","Cordyline","Asparagaceae",NA,NA,NA,"insertion based on genus"
"4909","Cordyline manners-suttoniae","Cordyline","Asparagaceae",NA,NA,NA,"insertion based on genus"
"4910","Cordyline mauritiana","Cordyline","Asparagaceae",NA,NA,NA,"insertion based on genus"
"4911","Cordyline murchisoniae","Cordyline","Asparagaceae",NA,NA,NA,"insertion based on genus"
"4912","Cordyline obtecta","Cordyline","Asparagaceae",NA,NA,NA,"insertion based on genus"
"4913","Cordyline pumilio","Cordyline","Asparagaceae",NA,NA,NA,"present in megatree"
"4914","Cordyline spectabilis","Cordyline","Asparagaceae",NA,NA,NA,"insertion based on genus"
"4915","Corema album","Corema","Ericaceae",NA,NA,NA,"present in megatree"
"4916","Corema conradii","Corema","Ericaceae",NA,NA,NA,"present in megatree"
"4917","Coreopsis lanceolata","Coreopsis","Asteraceae",NA,NA,NA,"present in megatree"
"4918","Coriandrum sativum","Coriandrum","Apiaceae",NA,NA,NA,"present in megatree"
"4919","Coriaria angustissima","Coriaria","Coriariaceae",NA,NA,NA,"present in megatree"
"4920","Coriaria arborea","Coriaria","Coriariaceae",NA,NA,NA,"present in megatree"
"4921","Coriaria japonica","Coriaria","Coriariaceae",NA,NA,NA,"present in megatree"
"4922","Coriaria kingiana","Coriaria","Coriariaceae",NA,NA,NA,"insertion based on genus"
"4923","Coriaria myrtifolia","Coriaria","Coriariaceae",NA,NA,NA,"present in megatree"
"4924","Coriaria plumosa","Coriaria","Coriariaceae",NA,NA,NA,"insertion based on genus"
"4925","Coriaria pottsiana","Coriaria","Coriariaceae",NA,NA,NA,"insertion based on genus"
"4926","Coriaria pteridoides","Coriaria","Coriariaceae",NA,NA,NA,"insertion based on genus"
"4927","Coriaria ruscifolia","Coriaria","Coriariaceae",NA,NA,NA,"present in megatree"
"4928","Coriaria sarmentosa","Coriaria","Coriariaceae",NA,NA,NA,"insertion based on genus"
"4929","Coris monspeliensis","Coris","Primulaceae",NA,NA,NA,"present in megatree"
"4930","Corispermum hyssopifolium","Corispermum","Amaranthaceae",NA,NA,NA,"insertion based on genus"
"4931","Corispermum intermedium","Corispermum","Amaranthaceae",NA,NA,NA,"insertion based on genus"
"4932","Corispermum marschallii","Corispermum","Amaranthaceae",NA,NA,NA,"insertion based on genus"
"4933","Cormus domestica","Cormus","Rosaceae",NA,NA,NA,"present in megatree"
"4934","Cornus alba","Cornus","Cornaceae",NA,NA,NA,"present in megatree"
"4935","Cornus alternifolia","Cornus","Cornaceae",NA,NA,NA,"present in megatree"
"4936","Cornus amomum","Cornus","Cornaceae",NA,NA,NA,"present in megatree"
"4937","Cornus canadensis","Cornus","Cornaceae",NA,NA,NA,"insertion based on genus"
"4938","Cornus controversa","Cornus","Cornaceae",NA,NA,NA,"present in megatree"
"4939","Cornus disciflora","Cornus","Cornaceae",NA,NA,NA,"present in megatree"
"4940","Cornus drummondii","Cornus","Cornaceae",NA,NA,NA,"insertion based on genus"
"4941","Cornus excelsa","Cornus","Cornaceae",NA,NA,NA,"present in megatree"
"4942","Cornus florida","Cornus","Cornaceae",NA,NA,NA,"present in megatree"
"4943","Cornus foemina","Cornus","Cornaceae",NA,NA,NA,"present in megatree"
"4944","Cornus kousa","Cornus","Cornaceae",NA,NA,NA,"present in megatree"
"4945","Cornus macrophylla","Cornus","Cornaceae",NA,NA,NA,"present in megatree"
"4946","Cornus mas","Cornus","Cornaceae",NA,NA,NA,"present in megatree"
"4947","Cornus nuttallii","Cornus","Cornaceae",NA,NA,NA,"present in megatree"
"4948","Cornus obliqua","Cornus","Cornaceae",NA,NA,NA,"insertion based on genus"
"4949","Cornus officinalis","Cornus","Cornaceae",NA,NA,NA,"present in megatree"
"4950","Cornus racemosa","Cornus","Cornaceae",NA,NA,NA,"present in megatree"
"4951","Cornus rugosa","Cornus","Cornaceae",NA,NA,NA,"present in megatree"
"4952","Cornus sanguinea","Cornus","Cornaceae",NA,NA,NA,"present in megatree"
"4953","Cornus sericea","Cornus","Cornaceae",NA,NA,NA,"present in megatree"
"4954","Cornus stolonifera","Cornus","Cornaceae",NA,NA,NA,"insertion based on genus"
"4955","Cornus suecica","Cornus","Cornaceae",NA,NA,NA,"present in megatree"
"4956","Cornus volkensii","Cornus","Cornaceae",NA,NA,NA,"present in megatree"
"4957","Cornutia pyramidata","Cornutia","Lamiaceae",NA,NA,NA,"insertion based on family"
"4958","Corokia buddleioides","Corokia","Argophyllaceae",NA,NA,NA,"present in megatree"
"4959","Corokia cotoneaster","Corokia","Argophyllaceae",NA,NA,NA,"present in megatree"
"4960","Corokia macrocarpa","Corokia","Argophyllaceae",NA,NA,NA,"present in megatree"
"4961","Coronidium rupicola","Coronidium","Asteraceae",NA,NA,NA,"insertion based on genus"
"4962","Coronidium rutidolepis","Coronidium","Asteraceae",NA,NA,NA,"insertion based on genus"
"4963","Coronidium scorpioides","Coronidium","Asteraceae",NA,NA,NA,"insertion based on genus"
"4964","Coronilla coronata","Coronilla","Fabaceae",NA,NA,NA,"present in megatree"
"4965","Coronilla minima","Coronilla","Fabaceae",NA,NA,NA,"present in megatree"
"4966","Coronilla scorpioides","Coronilla","Fabaceae",NA,NA,NA,"present in megatree"
"4967","Coronilla vaginalis","Coronilla","Fabaceae",NA,NA,NA,"insertion based on genus"
"4968","Correa bauerlenii","Correa","Rutaceae",NA,NA,NA,"insertion based on genus"
"4969","Correa reflexa","Correa","Rutaceae",NA,NA,NA,"present in megatree"
"4970","Corrigiola litoralis","Corrigiola","Caryophyllaceae",NA,NA,NA,"present in megatree"
"4971","Cortaderia selloana","Cortaderia","Poaceae",NA,NA,NA,"present in megatree"
"4972","Corunastylis nuda","Corunastylis","Orchidaceae",NA,NA,NA,"insertion based on family"
"4973","Corunastylis pumila","Corunastylis","Orchidaceae",NA,NA,NA,"insertion based on family"
"4974","Corybas cheesemanii","Corybas","Orchidaceae",NA,NA,NA,"insertion based on genus"
"4975","Corybas trilobus","Corybas","Orchidaceae",NA,NA,NA,"insertion based on genus"
"4976","Corydalis ambigua","Corydalis","Papaveraceae",NA,NA,NA,"present in megatree"
"4977","Corydalis aurea","Corydalis","Papaveraceae",NA,NA,NA,"present in megatree"
"4978","Corydalis cava","Corydalis","Papaveraceae",NA,NA,NA,"present in megatree"
"4979","Corydalis flavula","Corydalis","Papaveraceae",NA,NA,NA,"present in megatree"
"4980","Corydalis incisa","Corydalis","Papaveraceae",NA,NA,NA,"present in megatree"
"4981","Corydalis intermedia","Corydalis","Papaveraceae",NA,NA,NA,"insertion based on genus"
"4982","Corydalis pallida","Corydalis","Papaveraceae",NA,NA,NA,"present in megatree"
"4983","Corydalis pumila","Corydalis","Papaveraceae",NA,NA,NA,"insertion based on genus"
"4984","Corydalis solida","Corydalis","Papaveraceae",NA,NA,NA,"present in megatree"
"4985","Corydalis wilfordii","Corydalis","Papaveraceae",NA,NA,NA,"insertion based on genus"
"4986","Corylus americana","Corylus","Betulaceae",NA,NA,NA,"present in megatree"
"4987","Corylus avellana","Corylus","Betulaceae",NA,NA,NA,"present in megatree"
"4988","Corylus cornuta","Corylus","Betulaceae",NA,NA,NA,"present in megatree"
"4989","Corylus ferox","Corylus","Betulaceae",NA,NA,NA,"present in megatree"
"4990","Corylus heterophylla","Corylus","Betulaceae",NA,NA,NA,"present in megatree"
"4991","Corylus mandshurica","Corylus","Betulaceae",NA,NA,NA,"insertion based on genus"
"4992","Corymbia abbreviata","Corymbia","Myrtaceae",NA,NA,NA,"insertion based on genus"
"4993","Corymbia bleeseri","Corymbia","Myrtaceae",NA,NA,NA,"present in megatree"
"4994","Corymbia bloxsomei","Corymbia","Myrtaceae",NA,NA,NA,"present in megatree"
"4995","Corymbia calophylla","Corymbia","Myrtaceae",NA,NA,NA,"present in megatree"
"4996","Corymbia citriodora","Corymbia","Myrtaceae",NA,NA,NA,"present in megatree"
"4997","Corymbia clavigera","Corymbia","Myrtaceae",NA,NA,NA,"present in megatree"
"4998","Corymbia collina","Corymbia","Myrtaceae",NA,NA,NA,"present in megatree"
"4999","Corymbia confertiflora","Corymbia","Myrtaceae",NA,NA,NA,"present in megatree"
"5000","Corymbia dichromophloia","Corymbia","Myrtaceae",NA,NA,NA,"present in megatree"
"5001","Corymbia eremaea","Corymbia","Myrtaceae",NA,NA,NA,"present in megatree"
"5002","Corymbia eximia","Corymbia","Myrtaceae",NA,NA,NA,"present in megatree"
"5003","Corymbia ferruginea","Corymbia","Myrtaceae",NA,NA,NA,"present in megatree"
